work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,remote_work_type,company_location,company_size,job_category,exchange_rate,salary_in_usd,experience_level_description,employment_type_description,country_name
2020,MI,FT,Data Scientist,70000.0,EUR,DE,0,On-site only,DE,L,Data Science,0.876,79909.0,Mid-level (Junior),Full-time,Germany
2020,MI,FT,Data Engineering Manager,51999.0,EUR,DE,100,Fully remote,DE,S,Leadership (DE),0.876,59360.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,76760.0,EUR,DE,50,Hybrid,DE,L,Data Science,0.845,90840.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,75000.0,EUR,DE,50,Hybrid,DE,L,Data Science,0.845,88757.0,Mid-level (Junior),Full-time,Germany
2021,MI,FT,Data Scientist,21600.0,EUR,RS,100,Fully remote,DE,S,Data Science,0.845,25562.0,Mid-level (Junior),Full-time,Germany
2022,MI,FT,Machine Learning Engineer,80000.0,EUR,FR,100,Fully remote,DE,M,Machine Learning,1.0093,79263.0,Mid-level (Junior),Full-time,Germany
2020,EN,FT,Data Engineer,48000.0,EUR,PK,100,Fully remote,DE,L,Data Engineering,0.876,54795.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,55000.0,EUR,DE,50,Hybrid,DE,S,Data Science,0.876,62785.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,43200.0,EUR,DE,0,On-site only,DE,S,Data Science,0.876,49315.0,Entry-level,Full-time,Germany
2021,EN,FT,Machine Learning Engineer,85000.0,USD,NL,100,Fully remote,DE,S,Machine Learning,1.0,85000.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,100,Fully remote,DE,S,Data Science,0.845,76923.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,54000.0,EUR,DE,50,Hybrid,DE,L,Data Science,0.845,63905.0,Entry-level,Full-time,Germany
2021,EN,FT,Machine Learning Engineer,21000.0,EUR,DE,50,Hybrid,DE,M,Machine Learning,0.845,24852.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,0,On-site only,DE,L,Data Science,0.845,76923.0,Entry-level,Full-time,Germany
2022,EN,FT,Data Engineer,52800.0,EUR,PK,100,Fully remote,DE,M,Data Engineering,1.0093,52313.0,Entry-level,Full-time,Germany
2020,SE,FT,Principal Data Scientist,130000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.876,148402.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analytics Engineer,67000.0,EUR,DE,100,Fully remote,DE,L,Data Engineering,0.845,79290.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Machine Learning Engineer,80000.0,EUR,DE,50,Hybrid,DE,L,Machine Learning,0.845,94675.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Principal Data Scientist,147000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.845,173964.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analyst,54000.0,EUR,DE,50,Hybrid,DE,L,Data Analyst,0.845,63905.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Lead Machine Learning Engineer,80000.0,EUR,DE,0,On-site only,DE,M,Machine Learning,1.0093,79263.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Principal Data Scientist,148000.0,EUR,DE,100,Fully remote,DE,M,Data Science,1.0093,146636.0,Senior-level (Intermediate),Full-time,Germany
2021,EX,FT,Director of Data Science,110000.0,EUR,DE,50,Hybrid,DE,M,Leadership (DS),0.845,130178.0,Executive-level / Director (Expert),Full-time,Germany
2021,EX,FT,Director of Data Science,120000.0,EUR,DE,0,On-site only,DE,L,Leadership (DS),0.845,142012.0,Executive-level / Director (Expert),Full-time,Germany
2022,MI,PT,Data Engineer,50000.0,EUR,DE,50,Hybrid,DE,L,Data Engineering,1.0093,49539.0,Mid-level (Junior),Part-time,Germany
2020,EN,PT,ML Engineer,14000.0,EUR,DE,100,Fully remote,DE,S,Machine Learning,0.876,15982.0,Entry-level,Part-time,Germany
2020,MI,FT,Data Analyst,41000.0,EUR,FR,50,Hybrid,FR,L,Data Analyst,0.876,46804.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Engineer,61500.0,EUR,FR,50,Hybrid,FR,L,Data Engineering,0.876,70205.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Scientist,37000.0,EUR,FR,50,Hybrid,FR,S,Data Science,0.876,42237.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,53000.0,EUR,FR,50,Hybrid,FR,M,Research,0.845,62722.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,48000.0,EUR,FR,50,Hybrid,FR,S,Research,0.845,56805.0,Mid-level (Junior),Full-time,France
2022,MI,FT,Data Engineer,62000.0,EUR,FR,100,Fully remote,FR,M,Data Engineering,1.0093,61429.0,Mid-level (Junior),Full-time,France
2020,EN,FT,Data Scientist,45000.0,EUR,FR,0,On-site only,FR,S,Data Science,0.876,51370.0,Entry-level,Full-time,France
2020,EN,FT,Data Scientist,35000.0,EUR,FR,0,On-site only,FR,M,Data Science,0.876,39954.0,Entry-level,Full-time,France
2021,EN,FT,Data Analyst,50000.0,EUR,FR,50,Hybrid,FR,M,Data Analyst,0.845,59172.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,42000.0,EUR,FR,50,Hybrid,FR,M,Data Science,0.845,49704.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,31000.0,EUR,FR,50,Hybrid,FR,L,Data Science,0.845,36686.0,Entry-level,Full-time,France
2021,SE,FT,Data Science Manager,152000.0,USD,US,100,Fully remote,FR,L,Leadership (DS),1.0,152000.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,45000.0,EUR,FR,50,Hybrid,FR,L,Data Science,0.845,53254.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,65720.0,EUR,FR,50,Hybrid,FR,M,Data Science,0.845,77775.0,Senior-level (Intermediate),Full-time,France
2022,SE,FT,Research Scientist,85000.0,EUR,FR,50,Hybrid,FR,L,Research,1.0093,84217.0,Senior-level (Intermediate),Full-time,France
2020,MI,FT,Data Engineer,65000.0,EUR,AT,50,Hybrid,AT,L,Data Engineering,0.876,74201.0,Mid-level (Junior),Full-time,Austria
